"song","movie","name"
"Moonlight Becomes You","The Road to Morocco","Bing Crosby"
"Swinging on a Star","Going My Way","Bing Crosby"
"Too-Ra-Loo-Ra-Loo-Ral","Going My Way","Bing Crosby"
"I Fall in Love Too Easily","Anchors Aweigh","Frank Sinatra"
"Ol' Man River","Till the Clouds Roll By","Frank Sinatra"
"White Christmas","White Christmas","Bing Crosby"
"(Love Is) The Tender Trap","The Tender Trap","Frank Sinatra"
"Well, Did you Evah?","High Society","Bing Crosby"
"All the Way","The Joker is Wild","Frank Sinatra"
"The Lady is a Tramp","Pal Joey","Frank Sinatra"
"I Love Paris","Can-Can","Frank Sinatra"
